length,gradient,temperature,wind_speed,speed_kmh,battery_soc,acceleration,surface_type,traffic_density,weather_condition,gradient_sq,length_x_gradient,cold_penalty,wind_speed_sq,speed_sq,power_proxy,speed_x_length,Energy_Consumption_kWh,vehicle_id,timestamp
0.25898597,-0.8151235,-0.44258863,-1.5890576,-1.034423,-1.5780779,-0.709733,1.2285024,-0.008768004,-0.44426537,-0.87889385,-0.76198924,-0.30093563,-1.1070769,-0.9723029,-0.75408405,-0.6196765,7.196842372254399,1222,2024-01-03 10:59:00
0.2347989,-0.013448957,-1.6673523,-0.31164774,-1.0164344,-0.6985706,-0.6539581,-0.005641814,-1.236281,-0.44426537,-0.69552255,-0.34951064,4.3445244,-0.5562392,-0.9653792,-0.7737216,-0.61243767,7.603760428257217,1398,2024-01-03 17:31:00
-1.510614,-1.2253128,0.6729134,0.2538231,-0.8366316,-0.3569647,1.345447,-0.005641814,-1.236281,1.3680058,-0.6322407,-0.9645621,-0.30093563,-0.018390758,-0.88622,-0.23828107,-1.058513,5.140998098949844,1245,2024-01-01 08:40:00
-1.0296166,0.13608359,0.1587249,1.2045052,-1.5610896,1.5977526,0.22356996,1.2285024,-0.008768004,0.4618702,-0.56389606,-0.7361148,-0.30093563,1.292512,-1.0947307,-1.1009454,-1.093207,3.987048157905128,1485,2024-01-04 06:08:00
1.7206398,-1.5279913,-0.7214611,0.55343693,-1.3682246,1.3972678,0.4417254,1.2285024,-1.236281,0.4618702,-0.30244642,1.0110637,-0.30093563,0.33971372,-1.0679162,-1.0128205,-0.68136036,7.420326192948454,1808,2024-01-02 18:43:00
0.18568854,-1.4991468,1.4072939,-0.2084928,0.87510693,-0.98847,0.10672949,1.2285024,1.218745,-0.44426537,-0.3392851,0.05815386,-0.30093563,-0.4715782,0.77359086,-0.9382066,0.75568455,10.665410555629542,1502,2024-01-01 02:41:00
-0.45660803,1.6767433,-1.1518066,1.2002114,0.16377702,-0.38395873,0.4094276,-1.239786,-0.008768004,-1.3504009,2.5758595,0.7701156,-0.30093563,1.2854447,-0.115329854,-0.55859286,-0.2213226,8.097907913671406,1671,2024-01-03 09:02:00
1.3924611,0.042094514,-1.6435993,0.252592,-0.38987312,-1.06956,-0.73136306,1.2285024,1.218745,0.4618702,-0.65020597,0.17549184,4.0207543,-0.019757627,-0.61118716,-0.37968364,0.4382311,9.96464161112366,1830,2024-01-02 14:21:00
1.7384238,-0.9361514,-1.1399297,-0.65793,1.6842374,-0.95637536,-1.1007707,-1.239786,-1.236281,-1.3504009,-0.83008844,-0.27773112,-0.30093563,-0.79653,2.1290543,1.7415103,3.3490312,12.58815428537226,1181,2024-01-01 14:35:00
0.74708986,0.7803709,1.0858352,1.6623378,1.1821551,1.1274537,0.16258273,-0.005641814,1.218745,1.3680058,0.35354972,1.0800592,-0.30093563,2.1057582,1.2448132,-0.7933,1.5969085,10.64909593229667,1048,2024-01-04 02:26:00
-0.87041336,0.6960475,-1.6880367,1.428056,1.443441,0.5372196,-0.6575337,-0.005641814,1.218745,-1.3504009,0.20113423,-0.35725158,4.626465,1.6748279,1.6873671,0.47673196,-0.09485693,9.726000068480948,1346,2024-01-04 01:48:00
1.1537066,0.43881446,-0.10562282,-1.0668267,0.06183959,-0.20897038,-0.10316841,-1.239786,1.218745,0.4618702,-0.20363878,0.80599844,-0.30093563,-0.9931502,-0.21951407,-0.9711078,0.81411904,10.705701286644286,1603,2024-01-04 07:35:00
0.17412198,-1.3238897,-1.266497,1.6160618,-0.9557182,-1.674475,-0.15681686,1.2285024,1.218745,1.3680058,-0.53861344,-0.16017868,-0.30093563,2.0181851,-0.9406722,-1.028741,-0.58441836,7.653764034824118,1770,2024-01-01 17:15:00
1.6073732,1.1834029,-1.7007006,-1.0027843,0.66266185,1.1450113,-1.4426492,1.2285024,-0.008768004,1.3680058,1.2165694,2.6714654,4.799084,-0.968586,0.4784432,1.4956894,1.8827561,10.114342913047986,1875,2024-01-03 16:52:00
1.3763435,-1.6973461,1.325193,-1.3788643,-1.0230304,0.26400948,-0.30718103,-0.005641814,-0.008768004,-1.3504009,-0.06316532,1.1382813,-0.30093563,-1.0797269,-0.967939,-0.9586088,-0.31835535,7.967878027596495,1882,2024-01-01 09:05:00
0.33532652,-1.2959495,0.7355372,1.4905286,-1.4789428,-1.3064834,0.8729857,-1.239786,-1.236281,-0.44426537,-0.5665025,-0.12114691,-0.30093563,1.7867098,-1.0858551,-0.9723702,-0.9498276,7.1364019060254655,1159,2024-01-02 12:02:00
0.8182344,-0.26945147,0.56863993,0.47654524,1.0822334,0.09639216,-1.3638868,-0.005641814,-1.236281,-1.3504009,-0.84976065,-0.5535445,-0.30093563,0.24297954,1.0856723,1.7915479,1.5781506,11.46000216332269,1644,2024-01-03 21:20:00
-1.2832794,-0.44505507,0.4268058,-0.42785704,0.47063744,0.55049217,-1.0903819,1.2285024,1.218745,1.3680058,-0.90364695,-1.0178285,-0.30093563,-0.644422,0.23340362,0.7001544,-0.7573868,8.602307368752813,1626,2024-01-03 05:07:00
0.7703703,-1.6799451,-0.6138305,-1.0944605,1.5625356,-0.003408707,-0.41205335,-0.005641814,1.218745,-0.44426537,-0.08956225,0.6835366,-0.30093563,-1.0030347,1.9017626,-0.07293869,1.9846604,10.47580950335614,1837,2024-01-02 06:25:00
-0.043900628,-1.7214197,1.6228344,0.517845,-0.27061123,1.1792989,1.0638379,1.2285024,-0.008768004,-1.3504009,-0.025962349,0.16283764,-0.30093563,0.2945222,-0.518874,0.026451113,-0.20658107,9.074460367868838,1345,2024-01-01 05:34:00
1.731224,0.7268592,-1.3125277,1.4002149,1.1490259,-0.77090263,0.5629272,-1.239786,-1.236281,1.3680058,0.25569746,1.8092107,-0.30093563,1.6256768,1.1914307,0.07230851,2.634937,12.65343766235396,1055,2024-01-01 20:14:00
-0.9460669,-1.3274548,-0.67560124,1.3970191,-1.7122003,-0.42641044,1.2953384,1.2285024,1.218745,-1.3504009,-0.534978,-0.6838355,-0.30093563,1.6200631,-1.1011922,-1.1245933,-1.133797,6.369341720404035,1721,2024-01-04 01:58:00
